Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28,172.57373046875,168.99049377441406,140.61221313476562,302.30963134765625,363.9466552734375,172.701479862601,169.03750610351562,141.1559492617767,302.4069071163755,365.9599914550781,169.03576656556126,164.89999389648438,138.9780015247336,296.1116267591082,351.20001220703125,169.202835000459,164.97500610351562,140.0605139005608,296.1116267591082,355.0333251953125,90371900,59854000,35050000,29578200,102506100
2022-03-29,175.87583923339844,169.31500244140625,141.6559295654297,306.89239501953125,366.5233459472656,175.92496554492044,170.8314971923828,142.93626058492885,307.29132658279997,371.5899963378906,173.3009816876461,167.86849975585938,141.19171837433169,300.70413060248455,357.7033386230469,173.6449558432296,170.38400268554688,141.7970964844151,305.4329023364062,369.3299865722656,100589400,66154000,34318000,30393400,73614900
2022-03-30,174.70632934570312,166.30099487304688,141.0923309326172,305.38427734375,364.663330078125,176.51461532464543,168.95050048828125,141.86966668046006,307.4178635626859,371.3166809082031,173.6547624474948,165.5,140.75584795284888,303.1658493438242,361.3333435058594,175.4728856845117,168.50950622558594,141.61072161056262,305.2870015727423,363.72332763671875,92633200,56168000,19884000,28163600,59865000
2022-03-31,171.60076904296875,162.99749755859375,138.23843383789062,299.9841003417969,359.20001220703125,174.96182690829795,166.4949951171875,141.26080430245935,306.6296731361935,367.71331787109375,171.39438158819624,162.95350646972656,138.19569091666554,299.5754590506944,358.8800048828125,174.77509897203208,166.44500732421875,141.20612430564725,305.423139087264,364.8566589355469,103049300,59966000,37524000,33422100,48992700
2022-04-01,171.30596923828125,163.55999755859375,139.31497192382812,301.0641784667969,361.5299987792969,171.86615315495757,165.82699584960938,139.6335568528457,301.7549967231003,364.9166564941406,168.9768182066353,162.3195037841797,137.48295690375926,297.2889524574944,355.5466613769531,171.03079590947166,164.14950561523438,138.6683525128137,301.0155108922393,360.3833312988281,78751300,57090000,25942000,27110500,54263100
2022-04-04,175.36477661132812,168.34649658203125,142.11917114257812,306.4643249511719,381.8166809082031,175.41391791306214,168.39450073242188,142.85526562671214,306.6005288499604,383.3033447265625,171.43371240572407,163.20550537109375,139.47403919980835,301.3463602694202,357.510009765625,171.56147679106857,164.125,139.5217571731668,301.71610322728264,363.1266784667969,76468400,49882000,25942000,24289600,82035900
2022-04-05,172.04302978515625,164.05499267578125,139.7528533935547,302.4847106933594,363.7533264160156,175.22719732393347,168.11050415039062,142.13803890223633,306.3669515025398,384.2900085449219,171.41406008567415,163.26600646972656,139.54560027411895,301.5019761753652,362.4333190917969,174.4409814506257,167.7415008544922,142.01727270368926,304.8101534591533,378.76666259765625,73401800,53728000,21418000,23156700,80075100
2022-04-06,168.86866760253906,158.75599670410156,135.73394775390625,291.4120788574219,348.586669921875,170.63764923433646,162.1999969482422,138.5296805105521,298.70954326954427,359.6666564941406,167.19796855977063,157.25450134277344,134.70908842827123,288.6974137819439,342.5666809082031,169.38953233359362,161.65049743652344,137.9228159945289,296.9484242335621,357.8233337402344,89058800,79056000,32468000,40110400,89348400
2022-04-07,169.17333984375,157.7845001220703,135.07838439941406,293.23150634765625,352.4200134277344,170.37231557194565,160.07899475097656,136.3467783054226,295.449933820053,358.86334228515625,166.92281228589906,154.51150512695312,133.42727602104824,288.3470820048968,340.5133361816406,168.21023335572733,158.39999389648438,135.19915059428206,288.6487080875969,350.7966613769531,77594700,68136000,26234000,31411200,79447200
2022-04-08,167.15867614746094,154.4604949951172,132.49290466308594,288.950439453125,341.8299865722656,168.8195531941642,157.36849975585938,134.86119335955522,292.9883643451607,349.4800109863281,166.28401495074868,154.2310028076172,132.17281809687512,288.27907026482814,340.8133239746094,168.8195531941642,156.75,134.77520697165542,292.3267346125808,347.7366638183594,76575500,46002000,25142000,24361900,55013700
2022-04-11,162.8934783935547,151.1219940185547,128.05551147460938,277.5566711425781,325.30999755859375,166.11694994882637,154.13650512695312,131.3050203167302,284.708163419004,336.15667724609375,162.6477868725991,150.5345001220703,127.90143673113246,277.3036828422877,324.8800048828125,165.80247259982983,152.71299743652344,131.03762676950097,283.91032977575236,326.79998779296875,72246700,52112000,36884000,34569300,59357100
2022-04-12,164.7705535888672,150.78750610351562,126.953125,274.4430236816406,328.98333740234375,166.94245808323757,155.0989990234375,130.81546706889182,282.888614889522,340.39666748046875,163.7681280552551,150.38299560546875,126.03314343903256,272.9154140915164,325.5333251953125,165.12434995391737,153.6925048828125,130.81546706889182,281.42912208981386,332.5466613769531,79265200,55178000,32710000,30966700,65976000
