Date,AAPL_Close,AMZN_Close,GOOGL_Close,MSFT_Close,TSLA_Close,AAPL_High,AMZN_High,GOOGL_High,MSFT_High,TSLA_High,AAPL_Low,AMZN_Low,GOOGL_Low,MSFT_Low,TSLA_Low,AAPL_Open,AMZN_Open,GOOGL_Open,MSFT_Open,TSLA_Open,AAPL_Volume,AMZN_Volume,GOOGL_Volume,MSFT_Volume,TSLA_Volume
2023-10-19,173.9552459716797,128.39999389648438,136.92880249023438,326.937744140625,220.11000061035156,176.31482459139443,132.24000549316406,138.82741965324416,332.42420139961934,230.61000061035156,173.68755728005698,127.47000122070312,136.56101310131444,326.5331634650962,216.77999877929688,174.53025852712355,130.57000732421875,137.67433136041714,327.75675274742485,225.9499969482422,59302900,60961400,26066000,25052100,170772700
2023-10-20,171.39739990234375,125.16999816894531,134.7916259765625,322.3492431640625,211.99000549316406,173.91561041088508,128.1699981689453,137.04808243916904,327.5298029248246,218.86000061035156,171.1594526769345,124.97000122070312,134.27472171222004,321.1453785484329,210.4199981689453,173.80655315689722,128.0500030517578,136.51130832576152,327.33243622169937,217.00999450683594,64189300,56343300,26315200,25012600,137734000
2023-10-23,171.51634216308594,126.55999755859375,135.68624877929688,324.96417236328125,212.0800018310547,172.51767489960218,127.87999725341797,136.8393370245853,328.329072743361,216.97999572753906,168.4726633962427,123.9800033569336,133.15144769161353,320.09938749138905,202.50999450683594,169.4442697526279,124.62999725341797,134.23494596466517,321.1650893461635,210.0,55980100,48260000,26317900,24374700,150683400
2023-10-24,171.95257568359375,128.55999755859375,137.98248291015625,326.1581726074219,216.52000427246094,172.18059896074934,128.8000030517578,138.52920712328557,327.450843201344,222.0500030517578,169.97963653831403,126.33999633789062,136.60076999033336,323.2669341104162,214.11000061035156,171.56592094062157,127.73999786376953,137.00832941901376,326.91797719567256,216.5,43816600,46477400,44814300,31153600,118231100
2023-10-25,169.63265991210938,121.38999938964844,124.86116027832031,336.1640625,212.4199981689453,171.57584256593557,126.33999633789062,127.54506084409789,341.6209174681372,220.10000610351562,169.18650699014253,120.79000091552734,124.32437864838262,333.15438596388094,212.1999969482422,170.4059694558874,126.04000091552734,127.39596115570761,340.4565021251705,215.8800048828125,57157000,74577500,84366200,55053800,107065100
2023-10-26,165.458740234375,119.56999969482422,121.551025390625,323.5531311035156,205.75999450683594,169.91023915738614,121.63999938964844,123.58880732947519,337.11138741830564,214.8000030517578,164.24920182104776,118.3499984741211,120.54704439184272,322.61568436698997,204.8800048828125,168.9088912991807,120.62999725341797,122.53512137260901,336.0358080707796,211.32000732421875,70625300,100419500,57061100,37828500,115112600
2023-10-27,166.77735900878906,127.73999786376953,121.44166564941406,325.44775390625,207.3000030517578,167.5110182699133,130.02000427246094,122.57486878269701,332.2663621593789,212.41000366210938,165.39928015046561,125.5199966430664,119.49335135738528,324.0563997076813,205.77000427246094,165.47859589177074,126.19999694824219,122.1474319809211,326.0595486359888,210.60000610351562,58499100,125309300,44566500,29856500,94881200
2023-10-30,168.82957458496094,132.7100067138672,123.718017578125,332.8485107421875,197.36000061035156,169.70203248533966,133.0,124.65241609511718,334.9602201307453,210.8800048828125,167.42175441803172,128.55999755859375,122.0182128348534,327.44098203313024,194.6699981689453,167.57047708446643,129.72000122070312,122.47546958591673,329.0001007639954,209.27999877929688,51131000,72485500,28940100,22828100,136448200
2023-10-31,169.3054656982422,133.08999633789062,123.34028625488281,333.637939453125,200.83999633789062,169.43434051981868,133.57000732421875,124.62259669848551,334.5161822328496,202.8000030517578,166.4600687836398,131.7100067138672,121.95857348825355,330.2631912926322,194.07000732421875,167.89764555846892,132.75,124.31443963801871,334.36817224579886,196.1199951171875,44846000,51589400,26292300,20265300,118068300
2023-11-01,172.47802734375,137.0,125.69615173339844,341.4926452636719,205.66000366210938,172.73579212701503,137.35000610351562,125.73591417917893,342.82479524967096,205.99000549316406,168.66103905073186,133.7100067138672,122.9824311681007,335.15754738848574,197.85000610351562,169.5334969755198,133.9600067138672,123.33034308879131,335.29571010602456,204.0399932861328,56934900,61529400,30082400,28158800,121661700
2023-11-02,176.0471649169922,138.07000732421875,126.7299575805664,343.712890625,218.50999450683594,176.25535548295753,138.80999755859375,128.2110727208492,344.21612454156855,219.1999969482422,173.95525969593038,136.47000122070312,126.17329848546123,340.2098272647779,211.4499969482422,174.01474271477764,138.72999572753906,127.65441362574401,342.64715857381447,212.97000122070312,77334800,52236700,27124600,24348100,125987600
2023-11-03,175.1350555419922,138.60000610351562,128.3303680419922,348.1336364746094,219.9600067138672,175.3036109461129,139.49000549316406,128.75779728854175,349.70263264932424,226.3699951171875,171.86336822029236,137.4499969482422,127.09775492201882,342.73598488058093,218.39999389648438,172.74573503559924,138.99000549316406,127.25680471191657,345.00558172330744,221.14999389648438,79763700,44007200,26380100,23624000,119281000
2023-11-06,177.69290161132812,139.74000549316406,129.47349548339844,351.81427001953125,219.27000427246094,177.8911833660216,140.72999572753906,129.56295529489483,352.810920650958,226.32000732421875,174.69881232122145,138.36000061035156,127.9029130654574,348.6763382726154,215.0,174.86735256910734,138.75999450683594,128.28065249331533,348.775021621636,223.97999572753906,63841300,44970400,19052700,23828300,117335800
2023-11-07,180.26072692871094,142.7100067138672,130.189208984375,355.76141357421875,222.17999267578125,180.87540499500966,143.3699951171875,131.12360749662543,357.6658790135681,223.1199951171875,177.43516235233906,140.5,129.1057107809451,352.8997767299531,215.72000122070312,177.64335292992328,140.5500030517578,129.93076446372316,354.64635481124117,219.97999572753906,70530000,53553500,29757300,25833900,116900100
2023-11-08,181.321533203125,142.0800018310547,131.05401611328125,358.39605712890625,222.11000061035156,181.87672821790486,143.1199951171875,131.42182062725465,359.0571783438661,224.14999389648438,180.03267898856913,141.22000122070312,130.00033785946852,355.7810839202766,217.63999938964844,180.78617090399572,142.97000122070312,130.1892075781372,356.8961425131314,223.14999389648438,49340300,44521700,26425800,26767800,106584800
2023-11-09,180.84567260742188,140.60000610351562,129.46356201171875,355.9192810058594,209.97999572753906,182.54099933642837,142.64999389648438,131.75978820613193,359.9650577521111,220.8000030517578,180.25081209988173,139.83999633789062,129.2945773099461,355.59362893748545,206.67999267578125,181.3909588846785,142.02000427246094,131.17330921154067,357.5079716401421,219.75,53763500,36235400,23747800,24847300,142110500
2023-11-10,185.0448760986328,143.55999755859375,131.79954528808594,364.7804870605469,214.64999389648438,185.21365353801235,143.64999389648438,132.00830002192427,365.20479233824454,215.3800048828125,182.1957456895483,139.91000366210938,128.6385105172626,356.2942309369423,205.69000244140625,182.63254933718324,140.4600067138672,129.32439942696027,356.7086588455069,210.02999877929688,66133400,49287800,26913300,28042100,130994000
2023-11-13,183.45651245117188,142.58999633789062,131.3025360107422,361.83001708984375,223.7100067138672,184.67756614585693,143.22999572753906,131.79955523873454,363.59634968321416,225.39999389648438,182.8708053693486,140.6699981689453,130.4675473479926,361.0603351402409,211.61000061035156,184.46910132249658,142.0800018310547,130.99438651623862,363.3496563645731,215.60000610351562,43627500,35680600,18324800,19986500,140447600
2023-11-14,186.07733154296875,145.8000030517578,132.8234100341797,365.3725280761719,237.41000366210938,186.74245888927783,147.25999450683594,134.89101178671473,367.03033005742196,238.13999938964844,184.94561983989882,144.67999267578125,132.52521063972685,362.4911669897253,230.72000122070312,186.33543591459554,145.0,133.3900192192855,366.1027607739128,235.02999877929688,60108400,56674600,32395200,27683900,149771600
2023-11-15,186.6431884765625,143.1999969482422,133.81744384765625,365.5208740234375,242.83999633789062,188.12236184083608,147.2899932861328,134.22500322978144,368.94203087910716,246.6999969482422,186.414864785386,142.58999633789062,132.77371566742562,362.9895794473633,236.4499969482422,186.4843631662735,147.05999755859375,134.06595344634397,367.1127890598003,239.2899932861328,53790500,63875700,23861500,26860100,150354000
